day,hour_ist,prev_scn,f1,f5,f10,f20,bucket
2016-07-25,10,STRONG-FLOW,-0.5210956905386421,0.010421913810776395,0.8765987505283457,0.16964559703089854,BULL-LEAN
2016-07-28,10,ALL-ALIGN BULL,-0.32078280234931755,-1.329287008296487,-0.8556131220936236,-0.6790671913042279,BULL-LEAN
2016-08-01,9,ALL-ALIGN BULL,-0.1580492210431217,0.8660865739213097,-0.14473371890395548,1.7327520827182363,BULL-LEAN
2016-08-05,9,ALL-ALIGN BULL,0.3247669336588821,-0.4675722520053216,-0.5821620034204056,2.7040878022376758,BULL-LEAN
2016-08-18,9,ALL-ALIGN BULL,-0.07321361657971481,-0.9344824604387014,1.1691119245957449,1.5582394142910738,BULL-LEAN
2016-08-24,10,CHOP-MID,-0.6716530062541026,1.571043778828507,3.4935204559379596,2.095303053073305,CHOP
2016-08-29,14,CHOP-DOWN,1.590482663274262,3.898367112210921,1.3842659556546844,1.5997769374204829,CHOP
2016-09-06,9,CHOP-UP,-0.2801073465280024,-2.4197696522419765,-1.854523090685456,-2.225763166722572,BULL-LEAN
2016-09-15,12,CHOP-MID,0.42664897541335733,1.4286449605664497,-1.7306163533522767,-2.541020640430991,CHOP
2016-09-21,10,CHOP-MID,1.0288077565041132,-0.3645830366349023,-0.37825490050868993,-0.958169793156094,CHOP
2016-09-22,9,CHOP-MID,-0.4048514510936241,-3.1147624176059763,-1.7806697528601978,-1.7874360723770688,CHOP
2016-09-28,13,CHOP-DOWN,-1.7598325929229275,-0.013721891562734623,-1.8495966335626002,-1.225250567457381,CHOP
2016-10-03,9,CHOP-DOWN,0.3553404058090459,-0.33531316876668216,-0.9040867007701903,-2.8970828898730816,CHOP
2016-10-10,13,CHOP-MID,-1.5553233510931297,-0.5706871210729214,-1.0742008083777232,-2.1018969318390535,CHOP
2016-10-18,9,WEAK,-0.21664227520482582,0.15441523870982632,-1.8887057928761553,-6.890491939294064,BEAR/AVOID
2016-10-24,10,CHOP-MID,-0.20266507443493786,-0.949597827522275,-1.8991956550445388,-7.758110908892579,CHOP
2016-10-28,10,CHOP-DOWN,-0.13602685806899384,-1.6317434591340718,-6.130470016207457,-5.7403334105117,CHOP
2016-11-07,9,WEAK,0.5472487510371327,-4.573351928022074,-5.822609023131542,-4.164974903054586,BEAR/AVOID
2016-11-10,9,WEAK,-2.691258833533716,-5.297481160015238,-4.825968389877722,-3.0965017740374745,BEAR/AVOID
2016-11-17,11,PANIC,-0.0724014381277005,-1.4164691613190672,1.3979046900042702,0.9115155415565734,BEAR/AVOID
2016-11-22,11,PANIC,0.387388625770102,1.7476225585144167,1.7601189657973304,1.0009622233607685,BEAR/AVOID
2016-12-06,10,BEAR,-0.504718689941841,0.9658424565432311,-0.7460258008264664,0.6029607707091378,BEAR/AVOID
2016-12-21,11,BEAR,-1.0196866510364333,-0.32811085060722167,1.602719164402755,4.4124396809447575,BEAR/AVOID
2016-12-23,13,BEAR,-0.9704786651222541,2.505087186551047,3.2313808972231683,4.553110227592905,BEAR/AVOID
2016-12-27,9,PANIC,0.02489776355838469,1.9843517556035417,3.1838015150289056,5.514232184094059,BEAR/AVOID
2017-01-05,11,BEAR,-0.36259034542773794,1.6123184026686888,1.949527423916475,5.646135995552237,BEAR/AVOID
2017-01-11,9,CHOP-UP,0.316801202770689,0.43373723995157043,2.6501524344770377,4.746051917214067,BULL-LEAN
2017-01-24,9,ALL-ALIGN BULL,1.4977937185870482,2.8386700960381317,3.459850397602593,5.322211472663363,BULL-LEAN
2017-02-01,14,ALL-ALIGN BULL,0.20478637969805202,0.6040337754118719,0.09522279840301628,2.1035060346014545,BULL-LEAN
2017-02-10,13,TOP-WARNING,0.1307776722711429,0.32012099777680714,1.173018860414743,3.3371050372147826,BEAR/AVOID
2017-02-16,14,ALL-ALIGN BULL,0.4978354978355082,1.8398268398268414,1.3619275461380642,3.97413989519253,BULL-LEAN
