day,eq_strat,eq_bh,close
2014-12-22,1.0,1.0,8324.0
2014-12-23,1.0,0.9931523306102835,8267.0
2014-12-24,1.0,0.9819918308505526,8174.1
2014-12-26,1.0,0.985187409899087,8200.7
2014-12-29,1.0,0.99066554541086,8246.3
2014-12-30,1.0,0.9908998077847189,8248.25
2014-12-31,1.0,0.995038443056223,8282.7
2015-01-02,1.0,1.008583613647285,8395.45
2015-01-05,1.0,1.0065353195579048,8378.4
2015-01-06,1.0,0.9763755406054782,8127.35
2015-01-07,1.0,0.9733421432003845,8102.1
2015-01-08,1.0,0.9892599711677079,8234.6
2015-01-09,1.0,0.9952546852474772,8284.5
2015-01-12,1.0,0.9998798654493032,8323.0
2015-01-13,1.0,0.9970446900528591,8299.4
2015-01-14,1.0,0.9944197501201345,8277.55
2015-01-15,1.0,1.0204408938010572,8494.15
2015-01-16,1.0,1.0228015377222488,8513.8
2015-01-19,1.0,1.0272345026429601,8550.7
2015-01-20,1.0,1.0446419990389237,8695.6
2015-01-21,1.0,1.0487145603075445,8729.5
2015-01-22,1.0,1.0525468524747716,8761.4
2015-01-23,1.0,1.0614608361364728,8835.6
2015-01-27,1.0,1.0704589139836618,8910.5
2015-01-28,1.0,1.0709154252763093,8914.3
2015-01-29,1.0,1.075486544930322,8952.35
2015-01-30,1.0,1.0582532436328689,8808.9
2015-02-02,1.0,1.056871696299856,8797.4
2015-02-03,1.0,1.0519641999038922,8756.55
2015-02-04,1.0,1.0480177799135033,8723.7
2015-02-05,1.0,1.0465761653051417,8711.7
2015-02-06,1.0,1.0404913503123498,8661.05
2015-02-09,1.0,1.0243092263334936,8526.35
2015-02-10,1.0,1.0290185007208072,8565.55
2015-02-11,1.0,1.036448822681403,8627.4
2015-02-12,1.0,1.0465581451225372,8711.55
2015-02-13,1.0,1.0578447861604998,8805.5
2015-02-16,1.0,1.0583073041806823,8809.35
2015-02-18,1.0,1.065485343584815,8869.1
2015-02-19,1.0,1.0686328688130706,8895.3
2015-02-20,1.0,1.0612205670350794,8833.6
2015-02-23,1.0,1.0517719846227775,8754.95
2015-02-24,1.0,1.0526309466602595,8762.1
2015-02-25,1.0,1.053249639596348,8767.25
2015-02-26,1.0,1.0432304180682366,8683.85
2015-02-27,1.0,1.062542047092744,8844.6
2015-03-02,1.0,1.0760151369533877,8956.75
2015-03-03,1.0,1.0807604517059106,8996.25
2015-03-04,1.0,1.0719185487746274,8922.65
2015-03-05,1.0,1.073732580490149,8937.75
2015-03-09,1.0,1.0519882268140317,8756.75
2015-03-10,1.0,1.0466182123978856,8712.05
2015-03-11,1.0,1.0451645843344546,8699.95
2015-03-12,1.0,1.0543008169149448,8776.0
2015-03-13,1.0,1.0388935607880827,8647.75
2015-03-16,1.0,1.0371395963479095,8633.15
2015-03-17,1.0,1.0479697260932244,8723.3
2015-03-18,1.0,1.0434766938971647,8685.9
2015-03-19,1.0,1.0373197981739548,8634.65
2015-03-20,1.0,1.029661220567035,8570.9
2015-03-23,1.0,1.0272585295530994,8550.9
2015-03-24,1.0,1.0263034598750602,8542.95
2015-03-25,1.0,1.024843825084094,8530.8
2015-03-26,1.0,1.0021804420951466,8342.15
2015-03-27,1.0,1.002090341182124,8341.4
2015-03-30,1.0,1.020218644882268,8492.3
2015-03-31,1.0,1.0200624699663623,8491.0
2015-04-01,1.0,1.0315052859202307,8586.25
2015-04-06,1.0,1.0403531955790486,8659.9
2015-04-07,1.0,1.040401249399327,8660.3
2015-04-08,1.0,1.046900528592023,8714.4
2015-04-09,1.0,1.0545771263815473,8778.3
2015-04-10,1.0,1.0548234022104759,8780.35
2015-04-13,1.0,1.061268620855358,8834.0
2015-04-16,1.0,1.045975492551658,8706.7
2015-04-17,1.0,1.033877943296492,8606.0
2015-04-20,1.0,1.0149086977414705,8448.1
2015-04-21,1.0,1.0064572320999519,8377.75
2015-04-22,1.0,1.0126982220086498,8429.7
2015-04-23,1.0,1.0089259971167708,8398.3
2015-04-24,1.0,0.9977474771744353,8305.25
2015-04-27,1.0,0.9867611725132147,8213.8
2015-04-28,1.0,0.9953868332532437,8285.6
2015-04-29,1.0,0.9898786641037962,8239.75
2015-04-30,1.0,0.9828808265257087,8181.5
2015-05-04,1.0,1.0009550696780396,8331.95
2015-05-05,1.0,1.0000961076405572,8324.8
2015-05-06,1.0,0.9727294569918309,8097.0
2015-05-07,1.0,0.9679601153291687,8057.3
2015-05-08,1.0,0.9840821720326766,8191.5
2015-05-11,1.0,1.0001501681883709,8325.25
2015-05-12,1.0,0.9763274867851994,8126.95
2015-05-13,1.0,0.9893620855358002,8235.45
2015-05-14,1.0,0.9880105718404614,8224.2
2015-05-15,1.0,0.9925937049495436,8262.35
2015-05-18,1.0,1.0059646804420952,8373.65
2015-05-19,1.0,1.005003604036521,8365.65
2015-05-20,1.0,1.0119233541566555,8423.25
2015-05-21,1.0,1.0116530514175877,8421.0
2015-05-22,1.0,1.0162121576165306,8458.95
2015-05-25,1.0,1.0055562229697261,8370.25
2015-05-26,1.0,1.0018440653531957,8339.35
2015-05-27,1.0,1.001273426237386,8334.6
2015-05-28,1.0,0.9993993272465161,8319.0
2015-05-29,1.0,1.013172753483902,8433.65
2015-06-01,1.0,1.0131427198462277,8433.4
2015-06-02,1.0,0.989482220086497,8236.45
2015-06-03,1.0,0.9773065833733783,8135.1
2015-06-04,1.0,0.9767719846227775,8130.65
2015-06-05,1.0,0.9748558385391638,8114.7
2015-06-08,1.0,0.966380345987506,8044.15
2015-06-09,1.0,0.963767419509851,8022.4
2015-06-10,1.0,0.9760271504084574,8124.45
2015-06-11,1.0,0.9569137433925997,7965.35
2015-06-12,1.0,0.9590221047573282,7982.9
2015-06-15,1.0,0.9627462758289284,8013.9
2015-06-16,1.0,0.9667587698222009,8047.3
2015-06-17,1.0,0.9720747236905334,8091.55
2015-06-18,1.0,0.9820518981259011,8174.6
2015-06-19,1.0,0.988100672753484,8224.95
2015-06-22,1.0,1.0034959154252763,8353.1
2015-06-23,1.0,1.0069137433925996,8381.55
2015-06-24,1.0,1.0044269581931764,8360.85
2015-06-25,1.0,1.0088899567515617,8398.0
2015-06-26,1.0,1.0068596828447862,8381.1
2015-06-29,1.0,0.999327246516098,8318.4
2015-06-30,1.0,1.0053459875060067,8368.5
2015-07-01,1.0,1.0155033637674193,8453.05
2015-07-02,1.0,1.0145242671792407,8444.9
2015-07-03,1.0,1.019329649207112,8484.9
2015-07-06,1.0,1.023804661220567,8522.15
2015-07-07,1.0,1.0224411340701585,8510.8
2015-07-08,1.0,1.0046912542047093,8363.05
2015-07-09,1.0,1.0005466122056703,8328.55
2015-07-10,1.0,1.0043909178279673,8360.55
2015-07-13,1.0,1.0162962518020182,8459.65
2015-07-14,1.0,1.0156295050456512,8454.1
2015-07-15,1.0,1.0240028832292167,8523.8
2015-07-16,1.0,1.0341242191254203,8608.05
2015-07-17,1.0,1.0343404613166747,8609.85
2015-07-20,1.0,1.0335716001922153,8603.45
2015-07-21,1.0,1.0246816434406536,8529.45
2015-07-22,1.0,1.0371816434406536,8633.5
2015-07-23,1.0,1.031931763575204,8589.8
2015-07-24,1.0,1.023732580490149,8521.55
2015-07-27,1.0,1.004444978375781,8361.0
2015-07-28,1.0,1.001561749159058,8337.0
2015-07-29,1.0,1.0061328688130706,8375.05
2015-07-30,1.0,1.011749159058145,8421.8
2015-07-31,1.0,1.0250901009130227,8532.85
2015-08-03,1.0,1.0263154733301296,8543.05
2015-08-04,1.0,1.023173954829409,8516.9
2015-08-05,1.0,1.0293068236424796,8567.95
2015-08-06,1.0,1.0317936088419029,8588.65
2015-08-07,1.0,1.0289043728976455,8564.6
2015-08-10,1.0,1.0242191254204709,8525.6
2015-08-11,1.0,1.0166206150888997,8462.35
2015-08-12,1.0,1.0030574243152333,8349.45
2015-08-13,1.0,1.0038262854396924,8355.85
2015-08-14,1.0,1.0233721768380586,8518.55
2015-08-17,1.0,1.0184166266218164,8477.3
2015-08-18,1.0,1.017125180201826,8466.55
2015-08-19,1.0,1.0205610283517539,8495.15
2015-08-20,1.0,1.0058565593464681,8372.75
2015-08-21,1.0,0.9971107640557425,8299.95
2015-08-24,1.0,0.9381307063911581,7809.0
2015-08-25,1.0,0.9467443536761172,7880.7
2015-08-26,1.0,0.9360703988467084,7791.85
2015-08-27,1.0,0.9549435367611725,7948.95
2015-08-28,1.0,0.9613106679481018,8001.95
2015-08-31,1.0,0.9576285439692456,7971.3
2015-09-01,1.0,0.9353495915425277,7785.85
2015-09-02,1.0,0.9270783277270543,7717.0
2015-09-03,1.0,0.939812590100913,7823.0
2015-09-04,1.0,0.9196359923113888,7655.05
2015-09-07,1.0,0.9080730418068237,7558.8
2015-09-08,1.0,0.9236244593945219,7688.25
2015-09-09,1.0,0.9392839980778472,7818.6
2015-09-10,1.0,0.9356198942815954,7788.1
2015-09-11,1.0,0.9357640557424316,7789.3
2015-09-14,1.0,0.9457292167227295,7872.25
