Date,trend_days,buy_hold
2014-12-23,1.0,0.9931523306102835
2014-12-24,1.0,0.9819918308505526
2014-12-26,1.0,0.985187409899087
2014-12-29,1.0,0.99066554541086
2014-12-30,1.0,0.9908998077847189
2014-12-31,1.0,0.9950384430562231
2015-01-02,1.0,1.008583613647285
2015-01-05,1.0,1.0065353195579048
2015-01-06,1.0,0.9763755406054782
2015-01-07,1.0,0.9733421432003845
2015-01-08,1.0,0.9892599711677079
2015-01-09,1.0,0.9952546852474772
2015-01-12,1.0,0.9998798654493033
2015-01-13,1.0,0.9970446900528592
2015-01-14,1.0,0.9944197501201345
2015-01-15,1.0,1.0204408938010572
2015-01-16,1.0,1.022801537722249
2015-01-19,1.0,1.0272345026429603
2015-01-20,1.0,1.0446419990389237
2015-01-21,1.0,1.0487145603075447
2015-01-22,1.0,1.0525468524747719
2015-01-23,1.0,1.061460836136473
2015-01-27,1.0,1.0704589139836618
2015-01-28,1.0,1.0709154252763093
2015-01-29,1.0,1.075486544930322
2015-01-30,1.0,1.0582532436328687
2015-02-02,1.0,1.0568716962998557
2015-02-03,1.0,1.0519641999038922
2015-02-04,1.0,1.048017779913503
2015-02-05,1.0,1.0465761653051417
2015-02-06,1.0,1.0404913503123496
2015-02-09,1.0,1.0243092263334934
2015-02-10,1.0,1.029018500720807
2015-02-11,1.0,1.0364488226814028
2015-02-12,1.0,1.046558145122537
2015-02-13,1.0,1.0578447861604994
2015-02-16,1.0,1.058307304180682
2015-02-18,1.0,1.0654853435848146
2015-02-19,1.0,1.0686328688130702
2015-02-20,1.0,1.061220567035079
2015-02-23,1.0,1.0517719846227773
2015-02-24,1.0,1.0526309466602592
2015-02-25,1.0,1.0532496395963478
2015-02-26,1.0,1.0432304180682364
2015-02-27,1.0,1.0625420470927438
2015-03-02,1.0,1.0760151369533877
2015-03-03,1.0,1.0807604517059106
2015-03-04,1.0,1.0719185487746274
2015-03-05,1.0,1.0737325804901487
2015-03-09,1.0,1.0519882268140315
2015-03-10,1.0,1.0466182123978853
2015-03-11,1.0,1.0451645843344544
2015-03-12,1.0,1.0543008169149444
2015-03-13,1.0,1.0388935607880823
2015-03-16,1.0,1.0371395963479093
2015-03-17,1.0,1.0479697260932241
2015-03-18,1.0,1.0434766938971647
2015-03-19,1.0,1.0373197981739546
2015-03-20,1.0,1.0296612205670348
2015-03-23,1.0,1.0272585295530992
2015-03-24,1.0,1.0263034598750598
2015-03-25,1.0,1.0248438250840937
2015-03-26,1.0,1.0021804420951461
2015-03-27,1.0,1.0020903411821236
2015-03-30,1.0,1.0202186448822677
2015-03-31,1.0,1.020062469966362
2015-04-01,1.0,1.0315052859202303
2015-04-06,1.0,1.0403531955790482
2015-04-07,1.0,1.0404012493993267
2015-04-08,1.0,1.0469005285920225
2015-04-09,1.0,1.0545771263815469
2015-04-10,1.0,1.0548234022104752
2015-04-13,1.0,1.0612686208553574
2015-04-16,1.0,1.0459754925516573
2015-04-17,1.0,1.0338779432964915
2015-04-20,1.0,1.01490869774147
2015-04-21,1.0,1.0064572320999516
2015-04-22,1.0,1.0126982220086493
2015-04-23,1.0,1.0089259971167703
2015-04-24,1.0,0.997747477174435
2015-04-27,1.0,0.9867611725132144
2015-04-28,1.0,0.9953868332532434
2015-04-29,1.0,0.989878664103796
