Date,momentum_6mo,nifty,ew_88
2016-03-31,0.917728990930986,1.107534653394494,0.8418883153990354
2016-04-30,0.9269744341246244,1.123478435104944,0.8683872213821223
2016-05-31,0.9484995936765496,1.1678891663863862,0.8854761478698735
2016-06-30,1.0183275947178403,1.1861586792709369,0.9390736618781383
2016-07-31,1.1233650254000873,1.2363586921519096,1.0017420557390861
2016-08-31,1.1666686717810617,1.2574977995005048,1.0304392012509036
2016-09-30,1.1662374057266256,1.2324443076835003,1.0195866031377558
2016-10-31,1.2094165556157426,1.2362871311927066,1.0396690405197113
2016-11-30,1.1969767466146397,1.1771062179317453,0.996557149601302
2016-12-31,1.1091577359157665,1.1715673996894256,0.9621191431308168
2017-01-31,1.232769722835431,1.2253096800509513,1.0372074518988088
2017-02-28,1.2734696994893095,1.2708653866796433,1.0920656861972977
2017-03-31,1.309909905970821,1.3129646989788253,1.1247183928623525
2017-04-30,1.3432974159158202,1.3316134849471521,1.1614427812158317
2017-05-31,1.3574057199034946,1.377011757465597,1.1761316757448812
2017-06-30,1.3752315110004758,1.3626494729535352,1.1814244336043236
2017-07-31,1.4501302202601667,1.4422538839710604,1.2483494301657514
2017-08-31,1.4518676308832492,1.4194688745607942,1.2450425469493025
2017-09-30,1.4534040541645374,1.4009632105108734,1.234878164034783
2017-10-31,1.546280268287454,1.4792079633035395,1.3467585501796993
2017-11-30,1.573810770689772,1.463643454676866,1.3452387347417387
2017-12-31,1.6980500274599635,1.5071739861601103,1.403230000900184
2018-01-31,1.6685979589696283,1.578305579607989,1.4117216419138077
2018-02-28,1.6299834583701245,1.501756821548436,1.35474741462046
2018-03-31,1.5654035176968217,1.4474921461847274,1.2853803992261779
2018-04-30,1.7129987806203661,1.5370363744355628,1.3703063303514609
2018-05-31,1.6893265180393897,1.536578384296663,1.3179990017832879
2018-06-30,1.6812847407938323,1.5334511703794875,1.2823888738095028
2018-07-31,1.7667530374410005,1.6253640663799458,1.3847013498843688
2018-08-31,1.871889414039805,1.6717355679435526,1.4611376247177827
2018-09-30,1.7268108565615634,1.5643869730429867,1.313892020422779
2018-10-31,1.6770428226723146,1.486550117717778,1.3097953906167408
2018-11-30,1.6978129170668033,1.5567013260245741,1.3615907189850849
2018-12-31,1.6888540895798787,1.5546689947832062,1.3893380411636749
2019-01-31,1.6877679403181902,1.5501463421615707,1.3320210854436927
2019-02-28,1.684888143142535,1.5446433043988523,1.3361309105258798
2019-03-31,1.80545835421547,1.6559205959596686,1.4478290058057015
2019-04-30,1.7362877238132635,1.681417765723732,1.444618116237264
2019-05-31,1.8151868682911576,1.7064140087733735,1.465948603078823
2019-06-30,1.8398208548948278,1.687242827802864,1.464529209404927
2019-07-31,1.6845734098744478,1.5912294888400684,1.3560939743714038
2019-08-31,1.68860804410923,1.5776686870710814,1.3384667345848364
2019-09-30,1.8153125946222513,1.6422452966559564,1.41221113353485
2019-10-31,1.8981645336407214,1.6999234297736527,1.5012248505086243
2019-11-30,1.9441700087465665,1.7254850044009988,1.5283796372382854
2019-12-31,1.9614518531255443,1.7415719080298555,1.5391258573627393
2020-01-31,2.025968183667341,1.7120387001667372,1.5449155091166948
2020-02-29,1.847645891675354,1.6032159495065874,1.42394915873076
2020-03-31,1.3893415110006084,1.2305264739768573,1.0689656616963643
2020-04-30,1.624513881506921,1.4111678032932353,1.2159398681560725
2020-05-31,1.6510225795764137,1.3711509149068632,1.2073769027185792
2020-06-30,1.7343368741230965,1.4744563156124546,1.3374245024693066
2020-07-31,1.871174848822089,1.5848534073750724,1.409505316915591
2020-08-31,1.8958115778670515,1.6298008458505375,1.4952531135544946
2020-09-30,2.0045616189992597,1.6097709333695907,1.4755498343986242
2020-10-31,2.0124797565350705,1.6662826228522765,1.4755498343986242
2020-11-30,2.34828783182996,1.8561410037140138,1.7152523394490868
2020-12-31,2.521602921615537,2.0010948826758073,1.8767068709799248
