month,momentum_6mo,nifty50,ew_88_names
2016-03-31,0.0,0.0,0.0
2016-04-30,1.0074262974148152,1.4395740721596217,3.1475559760592464
2016-05-31,2.322087725348343,3.9529669545721013,1.9678924409496146
2016-06-30,7.361943168644403,1.5643190647173455,6.052959657603507
2016-07-31,10.314699437301478,4.232149859732748,6.673426846581054
2016-08-31,3.8548152561142857,1.7097875788620875,2.86472404222311
2016-09-30,-0.03696559827716106,-1.992328879379035,-1.0532012077930641
2016-10-31,3.7024322558248057,0.3118050434610886,1.9696646974520782
2016-11-30,-1.0285793545111055,-4.78698772864089,-4.146693730233442
2016-12-31,-7.336734898756225,-0.47054532190407006,-3.4556980986251595
2017-01-31,11.144671575283693,4.58721200127048,7.8044709227641285
2017-02-28,3.3015068345665144,3.717893310595355,5.2890320251806955
2017-03-31,2.8614898725996207,3.312649218433261,2.989994748278879
2017-04-30,2.5488401754053758,1.4203569968660235,3.2652074142770715
2017-05-31,1.0502740361527207,3.4092680069432335,1.264710992794038
2017-06-30,1.3132249876071311,-1.0430037677017112,0.4500140561294108
2017-07-31,5.446261859227053,5.841884695774557,5.664771665272839
2017-08-31,0.11981066243629268,-1.579819590953746,-0.264900446664984
2017-09-30,0.10582392282920683,-1.3037034049546703,-0.8163883988884568
2017-10-31,6.39025423500037,5.585068344809252,9.060034374513792
2017-11-30,1.7804341791678446,-1.0522190937853781,-0.11284988224190551
2017-12-31,7.89416739826605,2.9741212823484187,4.310853134152315
2018-01-31,-1.7344641214364742,4.71953431395824,0.6051496196757711
2018-02-28,-2.3141884114103006,-4.850059395884909,-4.0357975398117585
2018-03-31,-3.961999757830592,-3.613412943099348,-5.120291402343479
2018-04-30,9.428576162950076,6.186163323017291,6.607065984233906
2018-05-31,-1.3819194064109919,-0.02979696164107093,-3.8171996589081547
2018-06-30,-0.47603451195984414,-0.20351802089203508,-2.701832696808104
2018-07-31,5.0835111134603705,5.993858674855113,7.978272282644916
2018-08-31,5.950824725966575,2.8529916787742637,5.520054908576277
2018-09-30,-7.7503807858575025,-6.421386070801738,-10.077463053724589
2018-10-31,-2.8820778894306454,-4.9755499544849595,-0.31179349157780534
2018-11-30,1.2384951721979398,4.719061097953103,3.9544595086683954
2018-12-31,-0.5276687081873566,-0.13055370400163469,2.0378607015823835
2019-01-31,-0.06431279459782058,-0.2909077518630232,-4.125486672197843
2019-02-28,-0.1706275552972203,-0.35500117718207935,0.30854054242075435
2019-03-31,7.155977182441076,7.204076905258283,8.35981672154109
2019-04-30,-3.831195011543942,1.5397579948141615,-0.2217727062769237
2019-05-31,4.544128452663032,1.4866170418321056,1.4765484803082485
2019-06-30,1.3571047165441996,-1.1234777065789903,-0.09682424546910706
2019-07-31,-8.438182696285113,-5.690546575789835,-7.404101900950333
2019-08-31,0.23950480347916248,-0.852221622593996,-1.2998538537668969
2019-09-30,7.503490875519336,4.093166715805241,5.509617612789408
