H,months,tot,cagr,sharpe,mdd,n_hold
1,127,559.1455562497312,19.504445895745892,1.0315621114713007,-34.828737894713576,21
2,126,780.1412295416674,23.014800932071378,1.1856937831738985,-30.24289322313134,21
3,125,814.5082496623716,23.672748385890287,1.1800929245230303,-23.771339473853402,21
4,124,751.3095107297081,23.029275442493137,1.0939959400880235,-33.010985178163565,21
5,123,1127.7648769662921,27.718891919402,1.2816944866897764,-30.735858440538554,21
6,122,1251.7143504420806,29.191690985688503,1.3509920129963375,-31.423330227937342,21
