year,momentum_6mo,nifty50,ew_88_names
2016,20.16112428910364,5.960740643580998,14.020630624216945
2017,43.95675973854188,25.869707999645076,38.90495060556782
2018,0.6726735820512544,4.247332037752316,0.638485162207759
2019,16.17253522058215,11.959616490688717,11.321583127247834
2020,32.692203532563,19.88849826590583,27.245926163260492
2021,51.93090242890417,22.55701075016883,41.47252033160373
2022,27.68770630863967,5.333461656303241,18.013738989706454
2023,43.27317988937605,19.064062302825324,37.32530203782807
2024,29.382444485294023,9.00224721126005,20.422733363091396
2025,14.703730819038983,10.658286736537914,12.485211204672076
2026,-4.933401919770852,-8.500024957670394,-2.3869774881221097
